,3 / 1,3 / 2,3 / 3,4 / 1,4 / 2,4 / 3,4 / 4,5 / 1,5 / 2,5 / 3,5 / 4,5 / 5,6 / 1,6 / 2,6 / 3,6 / 4,6 / 5,6 / 6,7 / 1,7 / 2,7 / 3,7 / 4,7 / 5,7 / 6,7 / 7,T
A,1228,711,14,101,786,1102,34,247,349,401,155,43,181,311,254,140,112,15,148,220,220,145,185,151,39,7292
B,305,12,22,198,12,11,11,126,100,20,14,4,121,5,39,38,4,2,165,13,40,38,9,1,2,1312
C,94,11,17,148,4,193,1,205,35,54,175,21,166,68,111,47,99,19,247,29,147,91,54,68,16,2120
D,81,13,1090,203,6,78,288,90,12,86,91,300,99,12,55,89,38,299,91,14,34,88,47,54,213,3471
E,14,395,2048,98,990,694,1265,59,323,448,588,630,90,502,240,247,645,477,114,474,96,208,358,412,293,11708
F,321,14,14,268,4,24,9,126,32,12,29,27,104,28,70,13,5,6,103,13,32,21,18,4,11,1308
G,98,15,29,135,3,31,40,122,14,122,36,124,46,9,45,64,72,113,44,21,49,42,50,50,179,1553
H,451,1802,19,345,1157,13,516,108,714,170,101,193,82,219,41,59,38,69,77,94,20,59,62,24,72,6505
I,183,268,6,59,755,215,4,29,349,412,184,7,64,203,118,312,97,7,64,200,146,170,444,75,9,4380
J,16,,7,135,,,,34,,12,,,17,,3,,,1,30,,4,4,,,,263
K,9,5,12,278,22,198,162,34,1,37,54,122,16,1,18,62,45,10,26,1,2,71,16,5,9,1216
L,80,123,110,314,103,387,297,125,133,107,322,150,126,86,126,167,334,104,58,125,123,172,106,108,100,3986
M,47,7,59,348,4,235,214,148,98,88,51,71,139,21,124,56,33,36,106,34,98,56,20,26,37,2156
N,241,1033,158,74,301,365,399,70,68,165,383,138,57,130,162,146,281,155,29,111,141,126,111,378,169,5391
O,249,927,166,119,826,471,93,77,583,374,76,26,49,347,249,204,146,6,36,299,157,99,150,127,6,5862
P,62,15,30,90,29,45,37,134,25,37,19,22,225,26,59,105,36,10,172,27,90,87,30,17,9,1438
Q,2,,4,4,,,3,18,4,,4,,11,,1,4,,,11,2,4,1,,,,73
R,34,175,421,136,168,476,157,115,199,232,306,304,202,207,240,134,195,227,113,162,289,128,129,245,123,5117
S,192,43,615,363,45,377,419,375,45,100,242,669,312,23,121,87,87,473,248,19,131,86,40,187,475,5774
T,1739,149,623,1152,12,317,1083,587,198,130,281,398,239,92,193,254,135,217,122,69,154,272,139,138,209,8902
U,25,387,296,41,321,84,3,172,117,297,270,2,39,168,77,167,51,1,11,150,96,72,141,50,3,3041
V,8,21,16,55,84,245,,36,28,76,16,1,38,8,83,17,13,,29,7,50,26,22,14,,893
W,393,51,195,711,19,46,236,361,9,22,42,6,75,14,31,28,8,22,109,6,18,69,9,4,6,2490
X,1,,17,,2,18,2,,5,23,1,6,,22,6,2,,2,1,41,7,1,,4,4,165
Y,322,18,207,300,24,44,400,60,17,31,10,194,12,9,43,68,34,240,4,27,10,23,12,11,174,2294
Z,,,,3,1,9,5,,,2,8,,1,,2,1,3,,,,,3,6,5,,49
